palavra	count
abriendo	6940
casta	6996
nombrar	5104
pagados	5610
corregir	334
best	2017
deber	9422
desfile	7261
cagó	212
lejano	5157
factor	229
visitados	1532
mayoritario	3863
80	11277
liarla	7866
positivo	8904
exigiendo	7442
lograron	3655
consecuente	3053
—	8916
risas	9816
deberíais	7332
tardan	1879
vehículos	3205
kurdos	3073
carajo	10673
sistema	11156
pacificos	2828
libere	2464
quedaria	2104
unidas	9318
acojonado	4112
happening	7083
molesta	9155
tato	5171
nazismo	9705
obligado	8111
sergi	4727
carga	10546
levanto	4810
fuet	5690
toni	3603
moño	664
municipio	6323
vds	2400
pintura	1170
enfrentadas	1694
desafiando	561
fusiló	399
inmensa	8297
imperialista	733
amenazan	7157
republicano	9327
asuma	1751
asume	7245
protección	7846
reduce	888
quejais	734
solar	5983
resultar	6483
aceptación	649
huelgas	8970
mecanismo	230
ardiendo	2008
vinculantes	4833
disfrutan	4594
independista	7495
distinguir	374
sorprendas	3692
enfermeros	822
quieren	11842
lamento	8900
 –	1911
crema	3256
minoritario	2677
top	7531
equivocas	8099
exaltación	1928
traidor	10063
muestra	11250
ap	6450
salón	3761
creativo	136
bachillerato	214
reventar	7831
salseo	5040
coge	7234
ciudadanos	11784
rueda	9701
euros	10994
inventar	5841
ancianos	10508
power	249
élites	4348
0310	2435
diálogo	11798
consejero	6448
fb	4175
diran	2402
compraros	2134
luchado	217
apagando	1511
continentes	3303
clara	10929
aceptáis	1979
voltarem	1302
chingue	3293
sufre	9577
conteo	3661
ha	10101
señalados	5236
ei	1701
libertinaje	437
carmen	6280
reich	1523
felicitaciones	5031
profesional	5795
polacos	1311
cumplan	7054
arrastrar	2160
ibas	1185
moto	1883
hacedle	15
ropa	9863
siembra	4690
spanish	10705
partidarios	7874
solidaria	4317
considerado	6644
pedirían	785
todxs	4564
bastardos	3117
césar	3681
unga	5453
cordobeses	382
sm	2178
instalado	4441
luche	2598
invitan	1461
pintado	1116
convencida	4346
terminó	4855
hrs	8964
orwell	2564
agrede	7884
fachos	5953
agusto	7209
convencer	9530
aventura	3923
só	8487
oh	8901
irnos	7781
sabía	10776
gas	6499
entrego	209
convoca	10983
paga	10877
prusés	4074
estarian	2401
paquito	3380
sos	9718
escucharlo	4279
alejandro	4909
abrid	1058
vasta	1612
ramón	4920
debilitar	4059
patrias	3153
isabel	6761
sufrida	2846
gorda	8921
puede	9393
mala	11324
events	4486
separados	953
higo	961
podrás	7008
ventana	6355
risa	10641
entenderé	2975
tendencia	9915
digan	11174
forma	11756
creada	4638
presumir	1139
macri	8708
wait	2837
bildu	6992
desconocen	2482
leaders	1518
govt	2088
omisión	2523
podrida	5172
carnet	3294
nombres	6252
entidades	8200
separe	11077
mini	7115
llull	3907
suba	4570
condenó	6461
ataque	10314
feel	466
cambian	8223
manifestarse	10923
amigos	11511
assim	5182
velocidad	4544
sacaran	1545
cansan	2841
porras	10436
democratico	10355
rien	4451
habeis	10536
absurdo	10761
aux	149
inmediato	7868
pisoteado	5094
cosita	1641
capricho	6489
tú	5245
cuya	7030
creando	9682
habla	3209
tt	9724
resentimiento	1272
transcurra	1203
araucanía	1267
sucedido	11364
internos	3959
►	10610
national	4732
preocupante	9753
podían	8475
gral	4060
urkullu	7481
desconocer	6296
caótico	6913
2014	9627
encuentren	4523
paripe	6253
keremos	1633
mayo	8249
answer	297
hiciste	6383
mover	6513
impera	6966
reprimidas	2793
complejos	7966
ir	8376
recibirán	1258
sigas	310
pito	4529
cuando	8481
1000	8998
dejen	11476
millonarios	1560
als	6925
demócrata	11107
envia	3825
opináis	2102
40	11483
agredido	6836
tensión	11502
término	4949
miseria	9059
cuéntame	4142
supuestamente	9254
besos	7078
infinita	3587
marginal	1108
salga	11514
cortan	6043
bullrich	4548
hijos	11623
cobrado	1397
sudán	326
entera	10962
adoctrina	7370
préstamos	1057
cuota	5871
regimen	7411
recursos	9892
herrera	4000
agresión	9654
primarias	2382
això	1288
tv	11428
65	4102
chulos	1074
claros	7392
liberarse	2890
pasaron	8943
ter	6856
asesina	4161
regionales	7892
subió	2956
amiga	8781
53	70
realice	8163
arranca	6746
mambo	2623
asco	11617
1978	10587
sales	7535
nace	8381
aplica	10284
tiranía	8153
descanso	5955
propagandístico	455
confundan	1799
defender	11745
sres	5846
dizer	1678
peras	3644
invento	7689
puto	11533
perspectiva	3827
décadas	10092
enseñan	8145
irregularidades	7328
mojado	5874
publico	7911
diciembre	7914
tope	6197
formación	6628
gobierna	10446
pronunció	6729
blog	7384
cartel	7628
idiotas	9907
perdida	10104
hablado	10829
elevan	2140
mostrar	10108
antonio	10722
iria	6504
referendo	11851
deseamos	7264
perfecta	7049
injustas	366
todo	10768
lección	10291
victimista	5397
solidariza	5854
montón	8991
canción	8932
usa	8883
déjate	2078
indefinida	1860
actualidadrt	8606
moviendo	5293
convoyes	3219
jajajajajaja	9419
ataques	9858
imprensa	1793
muchísimo	9759
diário	7718
tienen	8088
llamamiento	6855
poblaciones	2533
manipulaciones	2667
oportunistas	6622
sucede	11235
reportan	8430
esten	7109
gran	5210
pongamos	3342
desleal	3478
vinieron	7579
sucia	7646
pasear	6531
pacifica	9014
encaje	6472
plaga	2377
deje	11201
xd	11664
pago	8263
meva	2844
zich	997
descubriendo	2491
tonterías	9763
darte	367
grupos	10169
beating	2154
abandono	5197
observador	5162
perro	10404
entretenido	3807
división	10540
metieron	111
adecuado	1874
entristece	2043
enemigos	8181
encrucijada	4291
hacéis	10845
països	365
lanza	8006
impuesta	6997
humana	7881
fruto	5898
dir	2064
enteran	7233
británica	3339
periódicos	8098
existiría	1394
much	4476
senadores	3277
evitado	8275
evidente	9929
000000	8360
trimestre	3252
podréis	6141
desafía	1240
val	1957
dándoles	880
lárgate	3260
andalucía	11323
voten	11432
episodio	9150
distracción	4572
express	2262
incidentes	11028
siiii	2589
monarquíarepública	9205
equidistancia	4428
clasico	2697
niñatos	5125
volvamos	6841
dl	11251
whatsapp	9836
recién	5256
adoro	1305
andrade	2329
rodriguez	2297
perjudica	2375
perfil	9609
pensaré	1464
regional	10173
portugueses	3044
formado	5105
quisieron	7159
concejal	626
cuestion	6201
muestran	9092
pirar	34
ponerlo	965
espanta	1341
pudiendo	4952
intereses	10716
rodillas	1003
mapa	9739
horas	2861
​	5439
fascinante	2815
pusieron	7626
sexta	10748
solicita	496
caceroladas	3248
subvenciones	3242
tonta	7163
demuestra	11109
comités	1619
adelanto	6101
quedaba	7373
quedar	11242
quitando	8406
fisuras	3582
prender	2915
sanitaria	3349
deplorable	6863
sra	8593
besis	4012
3a	3895
ana	9543
jong	2860
jajaj	7924
mascherano	1381
pujol	11197
literatura	2069
dimision	2602
voluntarios	6480
rasero	6801
marchar	7820
funciona	10086
amante	3376
régimen	11336
adoctrinar	7470
pancho	3601
tira	7453
cambien	7010
repercusión	6263
liderar	3718
ricardo	5203
tormenta	5145
miserable	9191
mejor	3218
grieta	8823
activo	2451
reprimiendo	10463
racistas	5534
aún	2942
demuestran	9188
companys	6728
despliegue	9989
neoliberalismo	3083
mostró	2910
comprende	2109
50s	89
anti	10246
peces	2889
necesario	11321
queman	3399
neo	4154
timmermans	753
vidal	6872
manifestaciones	11495
campeones	5137
revolución	10981
ojos	11029
dias	2374
similitud	3549
operativo	7957
racista	7147
óptica	4024
expresión	11316
cotiza	1680
justificar	10904
mexicana	6293
bobada	540
respeito	2443
subida	7482
hab	3428
pinochet	5216
gürtel	4382
loose	928
confunde	4203
asociado	774
congo	981
imaginemos	2727
vdd	5047
een	4371
cagado	6358
acampados	1541
precedente	7624
concentrados	1443
meten	8743
aspirar	4845
evolución	5745
deportes	6698
polvo	3176
europa	11755
meter	11004
seleccionador	3749
empiece	8761
convocan	10177
coartada	3961
realicen	3384
03	7959
jueves	8507
votarán	9625
cárdenas	3527
alegría	6638
decepcionante	4578
ajena	10416
izquierda	11573
supuestos	5156
indiferencia	762
gobiernos	11158
suelen	2048
producir	5891
arcadas	223
salamanca	1214
ucrania	3786
cargos	7522
pegan	8415
innecesario	5920
inconstitucionalidad	2474
totales	2505
mallorca	7695
na	11629
leo	10676
sensibilidad	1312
vuelve	10894
incluyo	2410
oriente	4983
respalda	7701
anciana	3185
convoque	8706
firmas	9241
desenmascarar	5238
luz	10691
independència	5506
prohibidas	9339
desmontan	3353
pensais	1040
veis	10114
92	8748
mexico	9351
cobrando	6561
play	4367
vickyaram	1351
apuesto	4328
condenado	7414
interesa	11387
quedaros	4991
cubren	1668
legitimar	9372
mudar	1366
epoca	2507
razón	11658
déjame	4869
confirmar	6978
busquemos	1218
sufrimos	5530
nació	8552
estudiado	5750
aterra	2241
creía	9216
permitan	6399
prioridad	5455
servía	3610
temo	10132
george	5022
compinches	333
siente	11103
soberanistas	6812
vecina	3678
turistas	6890
82	4392
quedarte	2299
vivi	3723
referirse	4660
cueva	6384
dividen	3322
1936	5952
castro	5456
botas	4668
chi	680
familia	11453
película	9709
1810	5358
auto	8372
parla	3916
robles	4445
camino	11479
atacada	2714
cubre	2779
10088	8825
diciéndole	4821
leves	4128
quedarnos	2315
ratas	8957
miranda	678
permitirá	6902
aceptarían	4927
respuesta	11504
aumenta	9229
inseguridad	5613
pir	29
dirigen	4032
órdago	3924
volvió	4139
iñigo	2913
mediocre	2851
abces	5638
consignas	4226
sucederá	1764
nervioso	5224
cono	2098
culés	6752
entendéis	7650
inteligencia	9115
equivoco	6780
be	10985
metes	3264
devolución	2243
separatismos	513
conseguirán	4794
➎	1744
tots	2529
desproporcionado	5635
vuelva	10782
ami	4630
21	9876
povos	3499
port	2331
urgencia	6725
crudo	546
boxes	1073
revelan	2722
poesía	1716
pineda	6200
guao	1669
tuppers	7604
legislatura	3667
manejado	2253
exterior	7813
mamarla	3899
many	3034
simbólico	6547
am	8889
jackson	3249
negar	10239
agitadores	3006
piensas	10238
comprar	10947
maldito	9590
colegas	8161
qie	190
aplastante	6551
basta	11298
paredes	2662
minorías	5360
reflexiones	375
conversaciones	5473
próximamente	6031
indiscriminada	2653
arruinar	3007
provocar	10034
señora	10767
estão	5693
gabriel	8590
anguita	4363
deciden	9827
donald	6497
hasta	6889
brillante	6535
plástico	6249
favorables	5761
estándares	3212
boicoteando	2736
dejarse	7164
tomar	11470
espejo	7455
sara	1667
valentía	9220
actúen	5510
macanas	160
pondrán	5544
escriben	4701
sabadell	10597
puso	9493
sentar	636
díaz	7333
cuestionable	2283
dialogante	522
voz	11274
resumo	4511
mafias	2539
dificil	8938
região	4721
canal	9983
sibciguarico	2428
explican	7949
trató	4276
seguramente	9995
tipo	11455
norteamericanos	2678
destacados	2648
mandará	1245
liar	10259
aprovechar	9741
industrias	4899
mezcla	4402
ea	7105
soñando	4891
salía	5273
súbditos	4042
copa	7255
met	3530
objetivos	5784
protegernos	1164
puesta	7849
residencia	150
pitos	2941
pujoliano	7072
decian	6533
garrote	5893
desarrollo	8407
aparato	5857
turba	7048
mantra	4170
más	10309
mai	4608
boadella	7793
hagais	1593
michael	911
ibex35	2146
bah	246
novio	6848
comisión	10609
realiza	8107
malversación	4808
circunstancias	7789
charnegos	5264
tonicomin	6433
necesarias	6198
fijado	1890
cubriendo	2490
félix	2311
could	5721
paquete	535
pasando	11810
atentado	10912
escusa	1971
abajo	10735
guía	6661
colonia	10848
status	4500
anacrónico	2159
ahoraquearv	3683
viejo	10007
ganar	11434
conocido	7336
est	9418
raja	5319
león	9707
royo	3146
volvería	2277
pos	8033
secuestro	5637
patronal	2437
argentinos	7992
iniciar	8292
pino	3022
bloody	3637
creemos	8448
egido	4545
estar	4300
cumplirá	1475
monja	1949
fuck	8476
familiar	9018
cortado	4041
vi	11723
reporta	6170
desmembrar	1238
eh	11520
declare	10310
uip	5511
delicado	2557
recupere	1814
perdedores	286
islam	3555
back	7024
ej	8158
cagan	4977
asombro	1089
borracho	6887
sepáis	4179
uribe	8020
son	10118
quiera	11701
lavar	4878
pabloiglesias	5027
alex	5445
viniendo	7567
them	7486
dcho	3631
keep	5561
invadir	7549
marcan	4815
amplia	7897
tratados	243
violentas	7862
pruebas	6593
nen	2362
apuestas	7596
independent	8583
española	11845
valientes	10315
ayuntamiento	9569
actos	11303
fijar	1408
disgusting	2739
avecina	7019
mentido	4506
selfie	147
fracasado	8855
vuelves	1567
marhuenda	7032
apoyando	11354
reaccionado	1494
cee	1382
rojigualda	5289
vnzla	2980
retorno	7335
torera	4429
seguirá	11374
sitios	9540
luchas	3416
brutales	4719
frívolo	115
bananero	5497
historico	174
caixabank	8934
criterios	1650
sinónimo	6271
elige	7760
acabaremos	3700
huelga	11741
resultados	11659
tercero	1878
sismo	3608
hipotética	7390
vuelvas	5209
majestad	9975
gh	6119
metro	8008
joden	4005
sometió	2644
legal	11850
dimitido	178
↓	3548
repudia	2364
sudor	181
santa	8490
ra	619
transcurre	2360
casita	4917
marcas	3425
entretenidos	5448
bebeagua60	2493
violado	4048
comun	7131
desobediencia	10434
confirmó	3268
evo	5545
malcriado	1763
por	11516
sanchezcastejon	1973
jeje	7726
rumor	2660
mediática	8995
porfa	7611
mapas	2537
entramos	5715
participan	2415
propietarios	3111
cataluya	470
conoce	9715
libera	4482
fan	9420
héroes	8619
altercado	2917
valdrá	5525
jesús	6654
apoyará	1942
abrazo	10707
alertanews24	6743
75	8321
dun	1573
cuartel	7683
independizar	11710
parad	5911
preguntaron	14
mata	7364
getafe	492
´	5669
ciudadano	10940
magistrados	560
⒋	10233
democratie	987
libre	11808
flipa	2001
odio	11757
radicalismo	4675
publicaciones	2324
sorprende	10467
mínimos	8084
consentimiento	755
quieres	11642
banca	9199
honesta	530
eta	10980
declaración	11558
colado	2694
canada	3702
pronunciado	7241
informacion	2625
racial	4440
abdicar	1839
preservar	4307
organiza	8267
par	10943
repartido	2439
usando	10385
llorando	9535
leido	5986
die	8483
anticonstitucional	10847
supresión	3003
ergüenza	1930
subraya	2838
suelo	9887
desalojando	2345
da	6662
roberto	7091
agosto	7094
dándole	2690
acosados	8597
molaría	940
masacraron	2906
facho	4866
chicos	9323
ano	4288
ibais	1568
alla	8062
percepción	2745
holanda	5148
informate	2732
sensible	2922
menudos	6650
comparado	7029
nacidos	7811
à	10684
money	1454
league	5464
abandonen	2716
festivo	6739
giro	6732
iluminados	5346
where	7612
querian	5681
debate	11527
pacifico	3448
norte	11106
enviaron	2724
llamado	10968
decidiera	5782
contenedores	4311
pobre	11023
catedrático	2903
imponga	4398
caixa	10666
claudio	3177
malas	9015
vox	4625
eeuu	10556
⒎	3804
errores	9040
aquí	6653
barricadas	4188
abiertamente	4567
trato	10317
yendo	10629
feliz	10457
català	7469
sorpresa	10211
mamadas	2652
clavel	1062
estimado	7877
farc	6273
huye	1881
prácticas	5056
frontera	9406
bienvenidos	8702
tetas	5354
ibex	9309
comparto	9086
ahorros	4999
dirigente	6542
màs	4406
población	11509
contemplar	792
largos	468
julio	9402
vive	11589
alegando	2167
cañas	585
así	6945
navidades	3627
mancha	6078
situaciones	8812
eterno	5169
proud	4407
independizará	8842
zero	2509
carrefour	3607
reporteya	7319
departamento	4998
bienvenida	8032
lao	1477
aguanten	1867
cole	8245
agradecimiento	3694
londres	4693
descaro	6607
capitulo	2798
asesinar	4401
déficit	6099
criminal	9659
influencia	2224
exilio	5646
hombre	11478
siglas	2207
desahucios	7081
invadan	607
2019	4437
venezolano	9960
were	5773
impere	5418
detención	8166
enseñando	2675
poderosa	1478
dañar	3023
represente	7554
reprimir	11126
tiembla	3664
tranquiliza	4104
juan	10180
pollo	9228
volvemos	7362
divide	9637
wikileaks	4571
serio	11575
ministros	2586
cinismo	9517
calmar	6227
café	7840
putos	10842
comin	7999
irían	3359
euskal	7669
pasao	2946
online	7013
echaron	1677
progre	3270
observar	4339
va	9854
callejera	2212
otegui	8608
inteligente	9878
mono	7403
tudo	5136
pegarnos	1060
delito	11456
finalmente	9101
criticando	9541
ruta	7649
☛	260
apoyaron	7607
2006	9835
polla	10874
preparaos	885
toro	8093
celebración	10111
pppsoe	4793
despide	2182
ayudas	8795
tirado	5467
fruta	1539
creéis	10372
repaso	5438
indepedencia	281
emisión	5848
escolas	515
victoria	11229
chupa	6430
buscan	10391
fútbol	11464
elija	5482
pasividad	9617
ineptos	7345
abogados	4961
amistades	4485
conquista	7890
grite	2217
habitual	3676
prevalecer	2588
1ª	5108
cobre	1496
46	7343
contestado	3457
resuelve	8961
curiosidad	7240
antiespañol	2738
vivo	11539
pot	5600
circular	789
anarquistas	7857
ay	10946
pensaría	201
tiroteo	10734
empleado	4465
fse	2189
des	10106
salta	9383
fcb	7306
há	5201
avergüenza	5297
policiaca	8982
fueros	2263
cando	6221
verdad	7097
dirigentes	11037
despierte	6579
sorprenden	3687
navarros	1845
fotos	11222
lloró	2966
lembra	1600
difunde	3780
reférendum	951
exigido	539
opresores	6879
hablar	11812
retirarse	385
peajes	4832
neofranquista	2951
filo	1414
día	7735
culpables	10338
acercar	2004
reporteros	7529
recientes	1141
participando	3361
quita	10055
autoridad	10506
material	9953
soluciones	10188
plantearse	5437
curioso	11016
anulación	4416
críticas	8603
separatistas	11665
manita	3558
váyanse	2764
cerebros	4823
acordado	11039
digno	9568
diversidad	3951
malgastar	316
jaleo	7379
bonitas	1933
detalle	8224
vascongadas	7769
ii	10504
dando	11663
ridícula	3626
relaciones	7622
andar	4879
acojan	3997
necesite	2112
farsa	11219
exigió	5995
ivan	1613
vzla	10966
patas	8172
younger	154
sirviendo	6952
mandan	10303
monde	3852
estudios	5139
imagínense	3058
neuronas	4294
mamarrachos	1602
reforma	11350
reaction	1282
ultraderecha	8370
solucionar	11113
pérdidas	1684
continúa	8879
pujolismo	3941
seguir	11735
duras	4484
bonita	9588
date	4454
espana	10374
ligue	1419
pitar	3697
aviso	8822
legalizado	2108
utilizada	1681
amar	7647
enormemente	541
filipinas	3172
mientas	3135
33	9539
vacía	3958
fracturada	8786
juegas	5733
buscas	2672
sepan	8896
ganhou	3648
haré	8864
visça	5257
nó	40
británico	6160
teléfono	3745
enhorabuena	10576
ta	8288
bajado	3409
seguimiento	5794
houve	3647
tanta	11648
ocupadas	490
parte	7913
recogida	4515
patrón	4937
declarase	1049
quejen	2758
dejan	11450
oigo	8091
somos	7111
latina	7077
12h	5079
integrada	2884
órdenes	10344
diputada	3145
violent	4477
demócratas	11272
tenés	996
pensemos	5041
institucional	9933
noo	3210
polo	1307
metiendo	8356
irpf	2321
enfrentándose	2255
corrupto	10899
envidia	8891
créditos	2310
reconstruir	63
miramos	4205
llevas	9335
colgada	2016
lograra	758
tierra	11471
pediría	1822
enfrentamientos	11279
insolidario	359
perdón	10860
pague	9088
3er	3496
periodística	457
viviendo	11410
co	9196
tensão	78
independizó	4637
supongo	11094
represivas	6210
terror	9200
busquen	7631
principios	8510
militantes	5015
vallejo	3680
común	11176
atentar	542
irás	873
us	7428
amenazados	4813
truco	8634
 	9159
rodea	4254
reciben	6916
negaron	5576
saludo	10867
cantaron	1904
díez	3488
mandas	4531
escenas	8257
vulnerado	4543
constitución	11831
er	8333
analistas	2872
piense	9761
seguida	2496
autodeterminação	2067
fondos	9120
decirlo	9452
demagogo	5949
maltratador	7409
també	1487
difícil	11360
pactamos	1213
ditadura	6001
respetamos	5581
literal	3208
cantando	11448
diablo	7210
armario	1379
logico	6942
llevará	7944
latinos	2142
citar	2497
montaron	390
disputa	7318
selecciones	19
habitantes	11081
siesta	7799
procés	9919
permitiera	2492
empeña	71
presenta	9780
durar	2862
torero	1990
pdte	8436
ocasión	7521
valer	5650
actuar	11382
nobel	7061
llevaban	4678
echa	9850
gravisimo	2756
resume	7643
muchisimo	4456
trozo	8993
ccaa	10568
disfrutando	3408
nosso	1666
entonando	883
ladrones	10046
maldad	6869
ccoo	9595
prohibió	5130
emigrar	6116
cagarla	902
retirado	5390
locales	8926
comunicación	10596
sienta	9699
quitar	11067
catalán	11857
valle	9606
presencia	9045
implanta	1222
alza	4565
indignados	8499
reves	5597
observan	4448
xenófobo	6435
vivido	10703
debo	9349
prohibido	10373
periódico	9639
72	7584
claro	7761
rol	642
afectan	6781
hostia	10713
cumplir	11425
barcos	5093
amiguitos	745
autosuficiente	1516
urgentes	2597
peñalosa	2935
luiges	1486
demostrando	9538
cargamos	714
els	9841
conducir	3475
amos	8480
guita	434
follon	1737
digital	8451
bisbal	138
junqueras	11224
educativo	6828
defiendes	7532
enciende	1929
popoli	2381
hermanos	10693
burguesa	5475
ordenada	5111
jajajajajajaja	4347
repetir	9394
recibirá	3752
montar	10926
levantado	6297
cor	55
profunda	10364
ejerza	4607
evitar	11598
escuchais	723
intolerantes	827
️⃣	825
imbéciles	9259
pasarte	872
pertenezca	2755
trono	8392
judíos	6112
banda	9700
puente	6553
comenzado	6516
42	8102
concluye	3323
desprestigiar	4144
portal	2234
razonamiento	3195
básico	1188
844	10728
porfi	1585
hope	5333
id	6789
unidos	11122
mente	9592
cenas	2875
2008	1937
pedirá	8789
desacuerdo	8492
perpetrado	1358
reportajes	4588
quienes	2116
reflexionar	8699
afecte	5818
devuelve	783
muera	4097
crucero	4990
interesan	4903
escocía	1193
perderá	5851
generaciones	8134
alegrar	258
gases	1875
pertenencia	2152
ven	11335
burgués	1982
alucinando	5642
onda	8269
lío	10783
logístico	6847
vulnerando	4469
musulmán	4542
jxsi	5917
inesarrimadas	3731
hernando	5612
producido	7292
traduce	2503
parón	3877
supiera	1670
métodos	7835
milagro	6456
albertmalta	8213
casilla	6426
votaremos	9828
delcy	1447
impresas	4968
revocar	1184
gratitud	1552
pida	10181
flipas	9
eurovision	4206
derechacentro	1327
tono	3307
defendéis	5932
represalias	6721
última	10170
bancario	7505
chiringuito	5620
followers	4411
habláis	9833
rancio	4003
dimitir	10339
dirigir	1529
terremotos	4596
gustan	8688
bancarias	3746
decirle	9587
ala	8148
región	11391
suprimir	6710
presión	9674
seguirme	2270
importaba	224
cerrado	9450
tendras	3598
dicha	1018
herederos	2888
movilizar	6502
fraude	10304
té	3085
molotov	5442
haced	9096
delitos	9329
drogas	5126
extremos	9074
manifestamos	4956
pérdida	8860
pilla	7682
jueces	10907
máximo	9311
chaval	9328
importase	1457
conversación	7804
celebro	5361
manifestandose	4593
infórmate	5961
escrutados	771
apunto	5044
coches	9471
carta	10186
juegan	9806
2300	2477
fátima	1637
votarlo	4686
aragon	9169
40000	6471
oído	10487
comunidades	11210
desmorona	1479
però	4874
onu	11008
confío	3237
timeline	4334
cambiar	11546
mama	7235
esperamos	9769
rebasa	512
pacifista	3540
tenta	6325
votarías	7187
68	2141
25	9984
volando	2800
haz	10136
democráticos	10240
moreno	5895
sentencia	9246
inaudito	6348
infarto	6351
bonos	647
2002	2278
griso	2131
violacion	6972
ansias	4466
fines	8718
manipulan	7814
palabras	11491
griega	935
hice	7063
refrendo	1729
votaría	10528
reconocemos	1142
permites	2891
esperanzas	1800
manipulador	5011
fifa	5190
centrales	2637
beneficiados	3553
ilegalmente	9537
complicado	10015
dimisión	10579
bloqueadas	331
recogido	421
preguntas	10551
imagine	4297
logro	4669
recibe	10306
caba	4280
kzf	3453
sección	4083
sienten	11014
palo	10414
queden	10218
lider	4703
desgracias	3158
zarzuela	4063
antidemocratico	6498
andalucia	9704
herencia	2647
bien	7792
conjunto	9552
dar	4514
ánimo	11366
independizaba	4501
lidera	2932
mexicanos	9528
promesa	1357
mayoría	11777
pensara	2999
ocupación	9934
irregular	881
posibilidad	10889
je	9005
oración	6810
alas	4867
ilegalización	4295
detesto	356
heridas	10803
decide	10690
aplaudir	7459
ocurrido	11518
indigna	8274
represión	11852
hablaré	66
solicitud	4526
eficaz	5970
unamuno	1131
síntoma	6634
extranjero	10432
indicar	3156
académicos	6365
creen	11319
pensamos	9270
estatut	10817
república	11822
revés	10307
retratado	514
quite	6858
colonialismo	1122
12000	2460
valga	7971
marque	327
depender	1584
logrando	2041
superior	10009
enseñar	5855
propagandística	1770
apartheid	6172
investigan	4756
hacienda	9012
bolivariana	7342
chiapas	4651
independizarnos	9897
concesiones	1016
dios	11592
go	7431
quieran	11472
proxima	2074
conlleva	5470
pública	10934
pasaporte	9391
símbolo	7565
esconden	4601
llegaron	8811
encubierta	216
relacionada	6774
lamentar	4947
llamarle	220
festivos	4067
partiendo	2373
radical	9826
quiso	9289
expulsan	5696
premier	5975
aceptó	3400
biotecnológica	7712
madrileño	7317
каталонии	4966
abandonando	3795
regalar	3227
comparaciones	4586
acosan	3855
tóos	203
corten	582
hosteltur	3991
xra	4803
viñeta	6599
respondido	4796
sahara	3374
municipal	349
artistas	6259
colgadas	1198
entendimiento	9586
retroceso	7415
olviden	8162
process	2363
subrealista	2468
pique	11572
armonía	4056
desempleo	1304
absurdas	3811
milicos	3604
personales	7129
atropella	65
manga	7200
➂	2084
ideologías	3306
llamando	9462
señor	11601
demuestre	1212
empate	5867
izq	2042
adn	564
cubano	1535
ideología	9574
criticó	2703
unidad	11721
seny	8588
empleando	1105
anular	7808
cules	6452
encantaría	9082
butifarrada	6408
tiren	632
enésima	726
robe	3507
liando	9958
circo	11078
despues	2480
jornadas	6432
decision	5097
supremacista	6338
balcanización	797
realizando	5376
tolerar	5359
expresa	8195
retirada	8728
venga	11484
oct	10048
aplicado	5946
economicamente	3279
callar	9872
rechazar	6921
pirómanos	988
venezolana	10792
continúan	5563
pregúntale	48
antireferendum	4945
reventado	3064
catalães	8179
afectado	6275
ny	430
pedradas	2379
patética	6792
fijo	7984
donde	8511
presentado	3259
define	8211
deberes	5183
unilateralmente	10143
post	8641
protesta	10742
democracy	10577
indepe	10815
luna	7408
descarta	1430
cni	3181
victimismo	8859
són	942
imagínate	8550
após	6734
mentiras	11139
entrar	11199
costumbre	4141
sectarios	3050
voice	2385
divorcio	9312
injustificable	7732
salarial	3138
cosas	6716
sala	8071
ramon	2814
multitud	6079
dels	1964
reinado	2817
preocupación	10212
102	6783
tranquilidad	9090
lloran	1749
proreferendum	9357
cortar	8310
corona	11111
salir	11693
decimos	9293
puigdemont	11834
alojamiento	2181
viajando	3876
molestar	3658
info	8500
lloro	5868
entrene	621
11m	338
excepción	9529
nacion	8469
divididos	6211
boya	2712
abogado	5633
diputados	9961
parodia	3884
tela	9911
naciones	10144
pendientes	8846
piolines	3938
cabrones	9490
organizado	10675
experto	6314
saltaron	5342
apoyarían	1855
votación	11768
agur	3516
warner	1768
transporte	3578
instaurar	6406
ultima	9282
industrial	440
dudes	5657
aprovecho	4585
cojan	1007
cobertura	11059
enterado	10723
qué	9571
mágicamente	1778
polonia	5202
latino	2561
limpieza	8739
padres	11424
confirmado	8284
mate	7372
34	9195
apoyaran	59
niega	10056
fiasco	3778
politicas	4584
paseo	6624
iría	10167
vivan	9292
king	7751
pacto	10514
área	2113
compradas	1655
organismo	4987
pareces	3197
dispuestos	8610
informarse	4522
culpar	5307
laberinto	1323
atento	5315
saliera	9775
zou	1220
equidistante	4503
hipoteca	7014
pasaba	9413
alimentando	5495
proreferéndum	683
esmad	4378
hable	11116
celebrado	9998
muertes	8278
manis	6496
adolescentes	6049
palito	5526
manden	7425
sorpresas	3766
bandos	10653
abandonó	168
acontece	7457
desplazados	8616
cameron	3660
admira	2821
racismo	6429
maniobras	810
pensamientos	7045
reprima	4163
nombrado	5340
participación	11326
convocatoria	10351
molestias	1980
176565	9104
zeid	3318
solucione	6999
escapa	6779
gracia	11123
have	10249
28	6764
acojona	210
llegarían	3351
sectaria	1772
tumbar	6228
robó	5826
jordi	10559
autocrítica	4135
bote	3789
sonrisas	3588
relato	8843
cava	7519
vergonzosa	9218
méndez	7338
bancos	10640
rollo	10052
payasadas	5632
convivencia	11308
lie	3792
hacen	3163
vara	5630
bomberos	11089
monto	1031
esperabais	4644
dictatorial	8435
latín	1100
solicitar	6121
201730	5206
eficiente	2261
económicos	8209
bar	9035
17	10036
opone	7713
ao	10844
